Year,Month,Type,Country,HS Code,Statistic Code,Unit Code,Description,Quantity,CIF (BAHT),Heading,heading_description,Chapter,chapter_description
2563,1,1,TH,20082010,0,KGM,Pineapples in airtight containers for retail sale (KGM),27540,1001524,2008,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,20082090,0,KGM,Other (KGM),4,1106,2008,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,20089720,90,KGM,Other (KGM),18300,539565,2008,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,20089990,1,KGM,"Mangoes, in airtight containers (KGM)",1000,235841,2008,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,20089990,90,KGM,Other (KGM),1116,351138,2008,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,20091200,0,KGM,"Orange juice, not frozen, of a Brix value not exceeding 20 (KGM)",57734,2191298,2009,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,20091900,0,KGM,Other (KGM),2388,53684,2009,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,20096900,0,KGM,Other (KGM),11389,1554982,2009,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,20098999,0,KGM,Other (KGM),22510,835990,2009,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,20099091,1,KGM,"Mixtures of fruit juice, ready for immediate consumption (KGM)",336,53963,2009,#N/A,20,PREP OF VEG FRUIT PLANT
2563,1,1,TH,21011292,1,KGM,Instant coffee (KGM),1080,196941,2101,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21012030,1,KGM,Instant tea (KGM),1260,196941,2101,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21012090,0,KGM,Other (KGM),6,19442,2101,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21032000,0,KGM,Tomato ketchup and other tomato sauces (KGM),14,2556,2103,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21039011,90,KGM,Other (KGM),13804,1016322,2103,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21039013,90,KGM,Other (KGM),3,2539,2103,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21039019,1,KGM,Instant curry (KGM),4,4715,2103,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21039019,90,KGM,Other (KGM),4,1381,2103,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21039029,0,KGM,Other (KGM),3599,491155,2103,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21042099,0,KGM,Other (KGM),2,1371,2104,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21069030,0,KGM,Nondairy creamer (KGM),750,22163,2106,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21069072,90,KGM,Other (KGM),0,2014,2106,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21069099,1,KGM,Coconut milk (KGM),16320,917260,2106,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,21069099,90,KGM,Other (KGM),32641,1834744,2106,#N/A,21,MISC EDIBLE PREPARATION
2563,1,1,TH,22011020,0,LTR,Aerated waters (LTR),3,1379,2201,#N/A,22,BEVERAGE SPIRIT VINEGAR
2563,1,1,TH,22030091,0,LTR,Of an alcoholic strength by volume not exceeding 5.8 % vol. (LTR),17917,205818,2203,#N/A,22,BEVERAGE SPIRIT VINEGAR
2563,1,1,TH,22089099,0,LTR,Other (LTR),9914,719755,2208,#N/A,22,BEVERAGE SPIRIT VINEGAR
2563,1,1,TH,23091010,90,KGM,Other (KGM),5760,402506,2309,#N/A,23,WASTE FROM FOOD INDUSTRY
2563,1,1,TH,25010099,90,KGM,Other (KGM),10000,72914,2501,#N/A,25,SALT SULPHUR EARTH CEMENT
2563,1,1,TH,25171000,90,KGM,Other (KGM),1700,3033,2517,#N/A,25,SALT SULPHUR EARTH CEMENT
2563,1,1,TH,27011900,0,KGM,Other coal (KGM),5,2585,2701,#N/A,27,MINERAL FUEL OIL WAX
2563,1,1,TH,27101943,0,LTR,Other lubricating oils (LTR),9771,759099,2710,#N/A,27,MINERAL FUEL OIL WAX
2563,1,1,TH,27101944,0,LTR,Lubricating greases (LTR),3309,249806,2710,#N/A,27,MINERAL FUEL OIL WAX
2563,1,1,TH,27101990,90,LTR,OTHER (LTR),40000,370647,2710,#N/A,27,MINERAL FUEL OIL WAX
2563,1,1,TH,27109900,0,LTR,Other (LTR),10000,25000,2710,#N/A,27,MINERAL FUEL OIL WAX
2563,1,1,TH,28042100,0,KGM,Argon (KGM),564,71581,2804,#N/A,28,INORGANIC CHEMICAL
2563,1,1,TH,28362000,0,KGM,Disodium carbonate (KGM),3000,30624,2836,#N/A,28,INORGANIC CHEMICAL
2563,1,1,TH,28363000,0,KGM,Sodium hydrogencarbonate (sodium bicarbonate) (KGM),2000,54564,2836,#N/A,28,INORGANIC CHEMICAL
2563,1,1,TH,28365090,0,KGM,Other (KGM),19000,132998,2836,#N/A,28,INORGANIC CHEMICAL
2563,1,1,TH,28429090,90,KGM,OTHER (KGM),60,5908,2842,#N/A,28,INORGANIC CHEMICAL
2563,1,1,TH,28470010,1,KGM,HYDROGEN PEROXIDE MORE THAN 15% w/w (KGM),19200,245717,2847,#N/A,28,INORGANIC CHEMICAL
2563,1,1,TH,28470090,1,KGM,HYDROGEN PEROXIDE MORE THAN 15% w/w (KGM),18000,487262,2847,#N/A,28,INORGANIC CHEMICAL
2563,1,1,TH,28529090,90,KGM,OTHER (KGM),10000,989506,2852,#N/A,28,INORGANIC CHEMICAL
2563,1,1,TH,29051700,2,KGM,HEXADECAN-1-OL (CETYL ALCOHOL) (KGM),10000,364439,2905,#N/A,29,ORGANIC CHEMICAL
2563,1,1,TH,29181400,0,KGM,Citric acid (KGM),2000,141988,2918,#N/A,29,ORGANIC CHEMICAL
2563,1,1,TH,29182200,1,KGM,Aspirin powder (KGM),9545,1229886,2918,#N/A,29,ORGANIC CHEMICAL
2563,1,1,TH,29336900,90,KGM,OTHER (KGM),76800,3499730,2933,#N/A,29,ORGANIC CHEMICAL
2563,1,1,TH,30049059,0,KGM,Other (KGM),1,88,3004,#N/A,30,PHARMACEUTICAL PRODUCT
2563,1,1,TH,30049099,0,KGM,Other (KGM),0,267,3004,#N/A,30,PHARMACEUTICAL PRODUCT
2563,1,1,TH,30059090,90,KGM,Other (KGM),18,13073,3005,#N/A,30,PHARMACEUTICAL PRODUCT
2563,1,1,TH,31022100,0,KGM,Ammonium sulphate (KGM),3,840,3102,#N/A,31,FERTILISER
2563,1,1,TH,31052000,0,KGM,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus and potassium (KGM)",1230000,18690000,3105,#N/A,31,FERTILISER
2563,1,1,TH,32041210,0,KGM,Acid dyes (KGM),240,90085,3204,#N/A,32,"TANNING DYEING EXTRACT,PAINT"
2563,1,1,TH,32041290,0,KGM,Other (KGM),1400,427812,3204,#N/A,32,"TANNING DYEING EXTRACT,PAINT"
2563,1,1,TH,32082040,0,KGM,Antifouling and/or anticorrosive paints for shipsâ€™ hulls (KGM),864,98172,3208,#N/A,32,"TANNING DYEING EXTRACT,PAINT"
2563,1,1,TH,32082090,0,KGM,Other (KGM),992,364560,3208,#N/A,32,"TANNING DYEING EXTRACT,PAINT"
2563,1,1,TH,32100030,0,KGM,Prepared water pigments of a kind used for finishing leather (KGM),30,12208,3210,#N/A,32,"TANNING DYEING EXTRACT,PAINT"
2563,1,1,TH,32121000,0,KGM,Stamping foils (KGM),1,1908,3212,#N/A,32,"TANNING DYEING EXTRACT,PAINT"
2563,1,1,TH,32141000,90,KGM,Other (KGM),30,4252,3214,#N/A,32,"TANNING DYEING EXTRACT,PAINT"
2563,1,1,TH,32149000,0,KGM,Other (KGM),0,61,3214,#N/A,32,"TANNING DYEING EXTRACT,PAINT"
2563,1,1,TH,32151900,0,KGM,Other (KGM),1,22656,3215,#N/A,32,"TANNING DYEING EXTRACT,PAINT"
2563,1,1,TH,33012990,0,KGM,Other (KGM),38,29600,3301,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33019090,90,KGM,Other (KGM),1,2696,3301,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33030000,0,KGM,Perfumes and toilet waters. (KGM),70,246675,3303,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33041000,0,KGM,Lip makeup preparations (KGM),69,44500,3304,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33042000,0,KGM,Eye makeup preparations (KGM),2,11172,3304,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33049100,0,KGM,"Powders, whether or not compressed (KGM)",4,75505,3304,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33049930,0,KGM,Other face or skin creams and lotions (KGM),518,783635,3304,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33049990,0,KGM,Other (KGM),11487,1595521,3304,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33051090,0,KGM,Other (KGM),16,7319,3305,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33059000,0,KGM,Other (KGM),6,12186,3305,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33061090,0,KGM,Other (KGM),1,144,3306,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33069000,1,KGM,Mouth washes (KGM),11,3524,3306,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33071000,0,KGM,"Preshave, shaving or aftershave preparations (KGM)",0,388,3307,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33072000,0,KGM,Personal deodorants and antiperspirants (KGM),1,397,3307,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,33073000,0,KGM,Perfumed bath salts and other bath preparations (KGM),33,8181,3307,#N/A,33,ESSENTIAL OIL PERFUMERY
2563,1,1,TH,34011150,0,KGM,Other soap including bath soap (KGM),7052,594629,3401,#N/A,34,SOAP WASH PREP POLISH CANDLE
2563,1,1,TH,34013000,0,KGM,"Organic surfaceactive products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap (KGM)",8,2339,3401,#N/A,34,SOAP WASH PREP POLISH CANDLE
2563,1,1,TH,34021110,90,KGM,Other (KGM),25920,906132,3402,#N/A,34,SOAP WASH PREP POLISH CANDLE
2563,1,1,TH,34029099,90,KGM,OTHER (KGM),5,1074,3402,#N/A,34,SOAP WASH PREP POLISH CANDLE
2563,1,1,TH,34031111,0,KGM,Lubricating preparations (KGM),2,3000,3403,#N/A,34,SOAP WASH PREP POLISH CANDLE
2563,1,1,TH,34031919,0,KGM,Other (KGM),3,1584,3403,#N/A,34,SOAP WASH PREP POLISH CANDLE
2563,1,1,TH,34031990,0,KGM,Other (KGM),0,298,3403,#N/A,34,SOAP WASH PREP POLISH CANDLE
2563,1,1,TH,34039111,0,KGM,Preparations containing silicone oil (KGM),90,29057,3403,#N/A,34,SOAP WASH PREP POLISH CANDLE
2563,1,1,TH,34039190,0,KGM,Other (KGM),20,5743,3403,#N/A,34,SOAP WASH PREP POLISH CANDLE
2563,1,1,TH,34049090,0,KGM,Other (KGM),11150,470451,3404,#N/A,34,SOAP WASH PREP POLISH CANDLE
2563,1,1,TH,35051010,0,KGM,Dextrins; soluble or roasted starches (KGM),21250,570081,3505,#N/A,35,ALBUMINOIDAL SUBSTANCES ; GLUES ; ENZYMES
2563,1,1,TH,35051090,910,KGM,OTHER (KGM),4,1613,3505,#N/A,35,ALBUMINOIDAL SUBSTANCES ; GLUES ; ENZYMES
2563,1,1,TH,35052000,0,KGM,Glues (KGM),8,12752,3505,#N/A,35,ALBUMINOIDAL SUBSTANCES ; GLUES ; ENZYMES
2563,1,1,TH,37019990,0,MTK,Other (MTK),101,135645,3701,#N/A,37,PHOTO AND CINEMA GOODS
2563,1,1,TH,37079090,0,KGM,Other (KGM),525,425056,3707,#N/A,37,PHOTO AND CINEMA GOODS
2563,1,1,TH,38019000,0,KGM,Other (KGM),4400,340767,3801,#N/A,38,MISC CHEMICAL PRODUCT
2563,1,1,TH,38029090,1,KGM,Animal black (KGM),0,341,3802,#N/A,38,MISC CHEMICAL PRODUCT
2563,1,1,TH,38099190,0,KGM,Other (KGM),28357,1474527,3809,#N/A,38,MISC CHEMICAL PRODUCT
2563,1,1,TH,38101000,90,KGM,Other (KGM),2,4501,3810,#N/A,38,MISC CHEMICAL PRODUCT
2563,1,1,TH,38123900,0,KGM,Other (KGM),60,19536,3812,#N/A,38,MISC CHEMICAL PRODUCT
2563,1,1,TH,38151900,0,KGM,Other (KGM),19,54553,3815,#N/A,38,MISC CHEMICAL PRODUCT
2563,1,1,TH,38159000,0,KGM,Other (KGM),2079,322936,3815,#N/A,38,MISC CHEMICAL PRODUCT
2563,1,1,TH,38190000,0,KGM,"Hydraulic brake fluids and other prepared liquids for hydraulic transmission, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals. (KGM)",3,1581,3819,#N/A,38,MISC CHEMICAL PRODUCT
2563,1,1,TH,38220090,0,KGM,Other (KGM),0,6020,3822,#N/A,38,MISC CHEMICAL PRODUCT
2563,1,1,TH,38246000,0,KGM,Sorbitol other than that of subheading 2905.44 (KGM),1300,34636,3824,#N/A,38,MISC CHEMICAL PRODUCT
2563,1,1,TH,38249999,90,KGM,OTHER (KGM),2500,207957,3824,#N/A,38,MISC CHEMICAL PRODUCT
2563,1,1,TH,39019090,90,KGM,Other (KGM),113450,7300165,3901,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39021090,90,KGM,Other (KGM),78000,2044308,3902,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39029090,0,KGM,Other (KGM),10100,803939,3902,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39032090,0,KGM,Other (KGM),2200,157300,3903,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39033060,0,KGM,In the form of granules (KGM),26,11947,3903,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39039099,0,KGM,Other (KGM),178,30560,3903,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39069020,0,KGM,In dispersion (KGM),18000,515902,3906,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39071000,0,KGM,Polyacetals (KGM),5000,227250,3907,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39073090,0,KGM,Other (KGM),300,98822,3907,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39076100,0,KGM,Having a viscosity number of 78 ml/g or higher (KGM),1250,40607,3907,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39077000,0,KGM,Poly(lactic acid) (KGM),1250,77086,3907,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39089000,0,KGM,Other (KGM),25,4226,3908,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39095000,0,KGM,Polyurethanes (KGM),5320,651993,3909,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39100020,0,KGM,In dispersion and in solutions (KGM),3,9911,3910,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39100090,0,KGM,Other (KGM),51,45169,3910,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39119000,0,KGM,Other (KGM),4,4786,3911,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39151090,0,KGM,Other (KGM),25000,174690,3915,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39171090,0,KGM,Other (KGM),200,3776,3917,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39172919,0,KGM,Other (KGM),214,32789,3917,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39172924,0,KGM,"Of cellulose nitrate, of cellulose acetates and other chemical derivatives of cellulose, plasticised ; of vulcanised fibre (KGM)",287,73538,3917,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39172929,0,KGM,Other (KGM),2652,548301,3917,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39173299,0,KGM,Other (KGM),11,2442,3917,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39173919,0,KGM,Other (KGM),2,970,3917,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39173999,0,KGM,Other (KGM),813,954576,3917,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39174000,0,KGM,Fittings (KGM),19,37194,3917,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39181090,90,KGM,Other (KGM),73,38861,3918,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39191010,90,KGM,Other (KGM),0,24,3919,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39199010,1,KGM,For tape used in the manufacture of telephonic or electric wire (KGM),3,1260,3919,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39199092,0,KGM,"Of addition polymerisation products; of condensation or rearrangement polymerisation products; of cellulose nitrate, cellulose acetates and other chemical derivatives of cellulose, plasticised (KGM)",15,29772,3919,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39199099,90,KGM,Other (KGM),2110,774346,3919,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39201011,0,KGM,Rigid (KGM),4,372,3920,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39201019,0,KGM,Other (KGM),44429,13571607,3920,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39201090,1,KGM,For tape used in the manufacture of telephonic or electric wire (KGM),710,303950,3920,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39201090,90,KGM,Other (KGM),50606,6670188,3920,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39202091,0,KGM,Plates and sheets (KGM),3,6473,3920,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39206190,90,KGM,Other (KGM),20,63208,3920,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39206210,0,KGM,Plates and sheets (KGM),1,15944,3920,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39206290,90,KGM,Other (KGM),23357,1084653,3920,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39209110,0,KGM,"Film of a kind used in safety glass, of a thickness exceeding 0.38 mm but not exceeding 0.76 mm, and of a width not exceeding 2 m (KGM)",30,23760,3920,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39209990,90,KGM,Other (KGM),0,519,3920,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39219010,1,KGM,Of thickness not exceeding 10 micron (KGM),25,8300,3921,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39219020,0,KGM,Of hardened proteins (KGM),1935,193567,3921,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39219090,0,KGM,Other (KGM),117,119802,3921,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39231010,0,KGM,"Cases for film, tape and optical discs (KGM)",5,1671,3923,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39231090,0,KGM,Other (KGM),1417770,1.73E+08,3923,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39232199,90,KGM,Other (KGM),2523,402877,3923,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39232990,1,KGM,Aseptic bags reinforced with aluminium foil (Other than retort bags) (KGM),3,1078,3923,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39232990,3,KGM,Plastic bags coated by aluminium (KGM),3,1407,3923,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39232990,90,KGM,Other (KGM),4530,247347,3923,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39233090,0,KGM,Other (KGM),3102,579600,3923,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39234090,0,KGM,Other (KGM),86032,11240022,3923,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39235000,0,KGM,"Stoppers, lids, caps and other closures (KGM)",11844,1330781,3923,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39239090,1,KGM,For containers for natural gas of composite material which compose of composite material reinforced with fiber glass and wrapped with epoxiresin (KGM),4903,373189,3923,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39239090,90,KGM,Other (KGM),402901,58443392,3923,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39241090,0,KGM,Other (KGM),2590,770448,3924,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39249090,90,KGM,Other (KGM),2397,399898,3924,#N/A,39,PLASTICS AND ARTICLES THEREOF
2563,1,1,TH,39259000,0,KGM,Other (KGM),6882,337229,3925,#N/A,39,PLASTICS AND ARTICLES THEREOF
