TARIFF	DESCRIPTION EN	DESCRIPTION TH	%	S	REMARK
SECTION 1	LIVE ANIMALS; ANIMAL PRODUCTS	สัตว์มีชีวิต ผลิตภัณฑ์จากสัตว์	
- Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :	กรดคาร์บอกซิลิกที่มีออกซิเจนฟังก์ชันอื่น อยู่ด้วยและ แอนไฮโดรด์ และเพอร์ออกซิแอซิดของกรดดังกล่าว รวมทั้งอนุพันธ์ชนิดฮาโลเจเนเต็ด ซัลโฟเนเต็ด หรือชนิดไนโตรเซเนเต็ดของของดังกล่าว
- กรดคาร์บอกซิลิกที่มีแอลกอฮอล์ฟังก์ชันแต่ไม่มีออกซิเจนฟังก์ชันอื่น และแอนไฮไดรด์ ฮาไลด์ เพอร์ออกไซด์และเพอร์ออกซิแอซิดของกรด ดังกล่าว รวมทั้งอนุพันธ์ของของดังกล่าว	
2919	Phosphoric esters and their salts, including lactophosphates; their halogenated, sulphonated, nitrated or nitrosated derivatives.	ฟอสฟอริกเอสเทอร์ เกลือของฟอสฟอริกเอสเทอร์ และแล็กโทฟอสเฟต รวมทั้งอนุพันธ์ชนิดฮาโลเจเนเต็ด ซัลโฟเนเต็ด ไนเตรีเต็ดหรือชนิดไนโตรเซเต็ดของของดังกล่าว	
2920	Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives.	เอสเทอร์ของกรดอนินทรีย์อื่น ๆ ของอโลหะ (ไม่รวมถึงเอสเทอร์ของไฮโดรเจนฮาไลด์) และเกลือของเอสเทอร์ของกรดอนินทรีย์ของอโลหะดังกล่าว รวมทั้งอนุพันธ์ชนิดฮาโลเจเนต็ด ซัลโฟเนเต็ดของของดังกล่าว	
2921	Amine-function compounds.
- Acyclic monoamines and their derivatives; salts thereof :	สารประกอบอะมีน-ฟังก์ชั่น
- อะไซคลิกโมโนอะมีน และอนุพันธ์ของอะไซคลิกโมโนอะมีน รวมทั้งเกลือของของดังกล่าว	
2922	Oxygen-function amino-compounds.
- Amino-alcohols, other than those containing more than one kind of oxygen function, their ether and esters; salts thereof :	สารประกอบอะมิโนที่มีออกซิเจนฟังก์ชั่น- อะมิโน
-แอลกอฮอล์(นอกจากที่มีออกซิเจนฟังก์ชั่นมากกว่าหนึ่ง) อีเทอร์และเอสเทอร์ของอะมิโน-แอลกอฮอล์เหล่านี้ รวมทั้งเกลือของของดังกล่าว	
2923	Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined.-	เกลือควอเทอร์นารีแอมโมเนียม และควอเทอร์นารีแอมโมเนียไฮดรอกไซด์ เลซิทินและฟอสโฟอะมิโนไลปิดอื่น ๆ จะนิยามไว้ในทางเคมีหรือไม่ก็ตาม	
2924	Carboxyamide-function compounds; amide-function compounds of carbonic acid.
- Acyclic lamides (including acyclic carbamates) and their derivatives; salts thereof :	สารประกอบคาร์บอกซิอะไมด์ - ฟังก์ชั่น สารประกอบ อะไมด์ - ฟังก์ชั่น ของกรดคาร์บอนิก
- อะไซคลิกอะไมด์ (รวมถึงอะไซคลิกคาร์บาเมต) และอนุพันธ์ของอะไซคลิกอะไมด์
รวมทั้งเกลือของของดังกล่าว	
2925	Carboxyimide-function compounds (including saccharin and its salts) and imine-function compounds.
- Imides and their derivatives; salts thereof :	สารประกอบคาร์บอกซิอิไมด์ - ฟังก์ชั่น (รวมถึงแซกคาริน และเกลือของแซกคาริน) และสารประกอบ อิมีน - ฟังก์ชั่น
- อิไมด์ และอนุพันธ์ของอิไมด์ รวมทั้งเกลือของของดังกล่าว	
2926	Nitrile-function compounds.	สารประกอบไนไทรส์ - ฟังก์ชั่น	
2927	Diazo-, azo- or azoxy-compounds.	สารประกอบไดอะโซ สารประกอบอะโซ หรือสารประกอบอะซอกซิ	
2928	Organic derivatives of hydrazine or of hydroxylamine.	อนุพันธ์อินทรียไฮดราซีนหรือของไฮดรอกซิลามีน	
2929	Compounds with other nitrogen function.	สารประกอบที่มีไนโตรเจนฟังก์ชั่นอื่น	
2930	Organo-sulphur compounds.	สารประกอบออร์แกโน - ซัลเฟอร์	
2931	Other organo-inorganic compounds.	สารประกอบออร์แกโน - อินออร์แกนิกอื่น ๆ	
2932	Heterocyclic compounds with oxygen hetero-atom(s) only.
- Compounds containing an unfused furan ring (whether or not hydrogenated) in the structure :	สารประกอบเฮตเทอโรไซคลิกที่มีออกซิเจนเฮตเทอโรอะตอมเท่านั้น
- สารประกอบที่ในโครงสร้างมีอันฟิวส์ฟิวแรนริง (จะเป็นชนิดโฮโดรเจนเต็ดหรือไม่ก็ตาม)	
2933	Hetercycle compouds with nitrogen hetero-atom(s) only.
- Compounds containing an unfused pyrazole ring (whether or not hydrogenated) in the structure :	สารประกอบเฮตเทอโรคลิกที่มีไนโตรเจนเฮตเทอโรอะตอมเท่านั้น
- สารประกอบที่ในโครงสร้างมีอันฟิวส์ไพริดีนริง (จะเป็นชนิดโฮโดรเจนเต็ดหรือไม่ก็ตาม)	
2934	Nucleic acids and their salts, whether or not chemically defened; other heterocyclic compounds.	กรดนิวคลีอิกและเกลือของกรดนิวคลีอิก จะนิยามไว้ในทางเคมีหรือไม่ก็ตาม รวมทั้งสารประกอบเฮตเทอโรไซคลิกอื่น ๆ	
2935	Sulphonamides.	ซัลโฟนาไมด์	
2936	Provitamins and vitamins, natural or reproduced by synthesis(including natural concentrates), derivatives thereof used primarily as vitamins, and intermixtures of the foregoing, whether or not any solvent.	โพรไวตามินและไวตามิน ที่ได้จากธรรมชาติหรือจากการสังเคราะห์ (รวมถึงไวตามินธรรมชาติที่เข้มข้น) และอนุพันธ์ของของดังกล่าวที่ใช้ประโยชน์หลักเป็นไวตามิน รวมทั้งสิ่งผสมระหว่างของดังกล่าว ซึ่งจะอยู่ในตัวทำละลายใดหรือไม่ก็ตาม	
2937	Hormones, prostaglandins, thromboxanes and leukotrienes, natural or reproduced by synthesis; derivatives and structural analogues thereof, including chain modified polypeptides, used primarily as hormones.
- Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues :	ฮอร์โมน พรอสทาแกลนติน ทรอมโบเซน และลิวโคทรีน ที่ได้จากธรรมชาติหรือจากการสังเคราะห์ อนุพัน์ธ์และของที่มีโครงสร้างคล้ายกันของของดังกล่าว รวมถึงเซนโมดิไฟด์โพลิเปปไทด์ ที่ใช้ประโยชน์หลักเป็นฮอร์โมน
- โพลิเปปไทด์ฮอร์โมน โปรตีนฮอร์โมน และไกลโคโปรตีนฮอร์โมน อนุพันธ์และของที่มีโครงสร้างคล้ายกันของของดังกล่าว	
2938	Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.	กลีโคไซด์ที่ได้จากธรรมชาติหรือจากการสัสงเคราะห์ รวมทั้งเกลือ อีเทอร์เอสเทอร์และอนุพันธ์อื่น ๆ ของของดังกล่าว	
2939	Vegetable alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.	แอลคาลอยด์จากพืชที่ได้จากธรรมชาติหรือจากสังเคราะห์รวมทั้งเกลือ อีเทอร์ เอสเทอร์ และอนุพันธ์อื่น ๆ ของของดังกล่าว	
2940	Sugars, chemically pure, other than sucrose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than products of heading 29.37, 29.38 or 29.39.	น้ำตาลที่บริสุทธิ์ในทางเคมี (นอกจากซูโครส แล็กโทส มอลโทส กลุโคส และฟรักโทส) ซูการ์อีเทอร์ ซูการ์อะซีทัล และชูการ์เอสเทอร์ และเกลือของชูการ์อีเทอร์ ชูการ์อะซีทัล และชูการ์เอสเทอร์ นอกจาก ผลิตภัณฑ์ตามประเภทที่ 29.37 29.38 หรือ 29.39	
2941	Antibiotics.	ปฏิชีวนะ	
2942	Other organic compounds.	สารประกอบอินทรีย์อื่น ๆ	
 CHAPTER 30	Pharmaceutical products.	ผลิตภัณฑ์ทางเภสัชกรรม	
3001	Glands and other organs for organo-therapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organo-therapeutic uses; heparin and is salts; other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified or included.	ต่อมและอวัยวะอื่น ๆ ที่แห้ง จะทำเป็นผงหรือไม่ก็ตามสำหรับใช้รักษาโรค สิ่งสกัดที่ได้จากต่อมหรืออวัยวะอื่น หรือที่ได้จากสิ่งที่ขับออกจากต่อมหรือจากอวัยวะดังกล่าว สำหรับใช้รักษาโรค เฮพารินและเกลือของเฮพาริน สารอื่นที่ได้จากมนุษย์หรือจากสัตว์ ซึ่งจัดทำไว้สำหรับใช้รักษา หรือป้องกันโรคที่ไม่ได้ระบุรวมไว้ในทื่อิ่น	
3002	Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and modified immunological products, whether or not obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products.
- Antisera and other blood fractions and modified immunological products, wtether or not obtained by means of biotechnological processes :	เลือดมนุษย์ เลือดสัตวย์ที่จัดทำสำหรับใช้รักษาโรค ป้องกันโรคหรือวินิจฉัยโรค แอนติซีราและแฟรกชันอื่น ๆ ของเลือด และผลิตภัณฑ์ ภูมิคุ้มกันวิทยาดัดแปลงที่ได้โดยกระบวนการทางเทคโนโลยชีวภาพ หรือไม่ก็ตาม รวมทั้งวัคซีน ทอกซิน จุลินทรีย์ที่ได้จากการเพาะเลี้ยง (ไม่รวมถึงยีสต์) และผลิตภัณฑ์ที่คล้ายกัน
- แอนติซีราและแฟรกชันอื่น ๆ ของเลือด และผลิตภัณฑ์ภูมิคุ้มกันวิทยาดัดแปลงที่ได้จากกระบวนการทางเทคโนโลยีชีวภาพหรือไม่ก็ตาม	
3003	Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale.	ยารักษาหรือป้องกันโรค (ไม่รวมถึงของตามประเภทที่ 30.02 30.05 หรือ 30.36 ) ที่ประกอบตั้งแต่สองชนิดขึ้นไปผสมเข้าด้วยกันสำหรับใช้รักษาหรือป้องกันโรคที่ไม่ได้จัดทำขึ้นเพื่อใช้ตามขนาดที่กำหนดหรือในลักษณะหรือบรรจุภาชนะเพื่อการขายปลีก	
3004	Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of mixed or unmixed products for therapeutic or prophyulactric uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or packings for retail sale.	ยารักษาหรือป้องกันโรค (ไม่รวมถึงของตามประเภทที่ 30.02 30.05 หรือ 30.36 ) ที่ประกอบด้วยผลิตภัณฑ์ผสมหรือผลิตภัณฑ์ไม่ผสม สำหรับใช้รักษาหรือป้องกันโรค ที่จัดทำขึ้นเพื่อใช้ตามขนาดที่กำหนด (รวมถึงของที่จัดทำในลักษณะเพื่อให้ผ่านทางผิวหนัง) หรือในลักษณะหรือบรรจุภาชนะเพื่อการขายปลีก	
3005	Wadding, gauze, bandages and similar articles (for example, dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical, dental or veterinary purposes.	แวดดิ้ง ผ้ากอซ ผ้าพันแผลและของที่คล้ายกัน (เช่น ของที่ใช้แต่งแผลปลาสเตอร์ปิดแผล ผ้าติดยาพอก) ที่อาบซึมหรือเคลือบด้วยสารที่เป็นเภสัชภัณฑ์ หรือที่จัดทำขึ้นในลักษณะหรือบรรจุภาชนะเพื่อการขายปลีก สำหรับใช้ในทางเวชกรรม ศัลยกรรม ทันตกรรม หรือสัตว์แพทย์	
3006	Pharmaceutical goods specified in Note 4 to this Chapter.	ผลิตภัณฑ์ทางเภสัชกรรมที่ระบุไว้ในหมายเหตุ 4 ในตอนนี้	
 CHAPTER 31	Fertilisers.	ปุ๋ย	
3101	Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers produced by the mixing or chemical treatment of animal or vegetable products.	ปุ๋ยจากสัตว์หรือปุ๋ยจากพืช จะผสมกันหรือจะผ่านกรรมวิธีเคมี หรือไม่ก็ตาม รวมทั้งปุ๋ยที่ผลิตภัณฑ์จากสัตว์หรือพืช หรือโดยการผ่านกรรมวิธีทางเคมีของผลิตภัณฑ์จากสัตว์หรือพืช	
3102	Mineral or chemical fertilisers, nitrogenous.	ปุ๋ยที่ได้จากแร่หรือปุ๋ยเคมี ที่มีธาตุไนโตรเจน	
3103	Mineral or chemical fertlisers, phosphatic.	ปุ๋ยที่ได้จากแร่หรือปุ๋ยเคมี ที่มีธาตุฟอสฟอรัส	
3104	Mineral or chemical fertilisers, potassic.	ปุ๋ยที่ได้จากแร่หรือปุ๋ยเคมี ที่มีธาตุโพแทสเซียม	
3105	Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium; other fertilisers; goods of this Chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg.	ปุ๋ยที่ได้จากแร่หรือปุ๋ยเคมี ที่มีธาตุปุ๋ยไนโตรเจน ฟอสฟอรัสและโพแทสเซียม สองหรือสามชนิดผสมกัน ปุ๋ยอื่น ๆ รวมทั้งของในตอนนี้ที่ทำเป็นเม็ดหรือลักษณะที่คล้ายกัน หรือที่บรรจุภาชนะซี่งมีน้ำหนัก รวมภาชนะไม่เกิน 10 กิโลกรัม	
 CHAPTER 32	Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks.	สิ่งสกัดที่ใช้ฟอกหนังหรือย้อมสี แทนนินและอนุพันธ์ของแทนนิน สีย้อมสารสี (พิกเมนต์) และวัตถุแต่งสีอื่นๆ สีทา และวาร์นิช พัตตี้และมาสติกอื่นๆ รวมทั้งหมึก	
3201	Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives.	สิ่งสกัดที่ใช้ฟอกหนังซึ่งได้จากพืช รวมทั้งแทนนิน เกลือ อีเทอร์ เอสเทอร์และอนุพันธ์อื่น ๆ ของแทนนิน	
3202	Synthetic organic tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pretaining.	สารอินทรีย์สังเคราะห์ที่ใช้ฟอกหนัง สารอนินทรีย์ที่ใช้ฟอกหนัง สิ่งปรุงแต่งที่ใช้ฟอกหนังจะมีสารธรรมชาติที่ใช้ฟอกหนังอยู่ด้วยหรือไม่ก็ตาม สิ่งปรุงแต่งจำพวกเอนไซม์สำหรับใช้แช่หรือหมักหนังก่อนฟอก	
3203	Colouring matter of vegetable or animal origin (including dyeing extracts but excluding animal black), whether or not chemically defined; preparations as specified in Note 3 to this Chapter based on colouring matter of vegetable or animal origin.	วัตถุแต่งสีที่ได้จากพืชหรือสัตว์ (รวมถึงสิ่งสกัดที่ใช้ย้อมสี แต่ไม่รวมถึงแอมินอลแบล็ค) จะนิยามไว้ในทางเคมีหรือไม่ก็ตาม รวมทั้งสิ่งปรุงแต่งที่ระบุไว้ในหมายเหตุ 3 ของตอนนี้ที่มีวัตถุแต่งสีซึ่งได้จากพืชหรือสัตว์เป็นหลัก	
3204	Synthetic organic colouring matter, whether or not chemically defined; preparations as specified in Note 3 to this Chapter based on synthetic organic colouring matter; synthetic oganic products of a kind used as fluorescent brightening agents or as luminophores, whether or not chemically defined.
- Synthetic organic colouring matter and preparations based thereon as specified in Note 3 to this Chapter :	วัตถุแต่งสีเป็นอินทรีย์สังเคราะห์ จะนิยามไว้ในทางเคมี หรือไม่ก็ตามสิ่งปรุงแต่งที่ระบุไว้ในหมายเหตุ 3 ของตอนนี้ที่มีวัตถุแต่งสีอินทรีย์สังเคราะห์เป็นหลัก รวมทั้งผลิตภัณฑ์อินทรีย์สังเคราะห์ชนิดที่ใช้เป็นตัวให้ความขาวสว่างชนิดฟูลออเรสเซนต์หรือใช้เป็นลูมิโนฟอร์ จะนิยามไว้ในทางเคมีหรือไม่ก็ตาม
- วัตถุแต่งสีอินทรีย์สังเคราะห์ และสิ่งปรุงแต่งที่มีวัตถุดังกล่าวเป็นหลักตามที่ระบุไว้หมายเหตุ 3 ตอนนี้	
3205	Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure preparations.	คัลเลอร์เลก สิ่งปรุงแต่งที่ระบุไว้ในหมายเหตุ 3 ของตอนนี้ที่มีคัลเลอร์เลกเป็นหลัก	
3206	Other colouring matter; preparations as specified in Note 3 to this Chapter, other than those of heading 32.03, 32.04 or 32.05; inorganic products of a kind used as luminophores, whether or not chemically defined.
- Pigments and preparations based on titanium dioxide :	วัตถุแต่งสีอื่น ๆ สิ่งปรุงแต่งตามที่ระบุไว้ในหมายเหตุ 3 ตอนนี้ นอกจากของตามประเภทที่ 32.03 32.04 หรือ 32.05 รวมทั้งผลิตภัณฑ์อนินทรีย์ชนิดที่ใช้เป็นลูมิโนฟอร์จะนิยามไว้ในทางเคมีหรือไม่ก็ตาม
- สารสีและสิ่งปรุงแต่งที่มีไททาเนียมไดออกไซด์เป็นหลัก	
3207	Prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes, engobes (slips), liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry; glass frit and other glass, in the form of powder, granules or flakes.	สารสีปรุงแต่ง สิ่งปรุงแต่งที่ใช้ทำให้ทึบแสง และสีปรุงแต่ง เอนาเมลและเกลซ เอนโกบ(สลิป) น้ำยาซักเงา และสิ่งปรุงแต่งที่คล้ายกัน ชนิดที่ใช้ในอุตสาหกรรมเซรามิก อุตสาหกรรมเครื่องเคลือบ หรืออุตสาหกรรมแก้ว รวมทั้งกลาสฟริตและแก้วอื่น ๆ ในลักษณะเป็นผง เม็ด หรือเกล็ด	
3208	Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium; solutions as defined in Note 4 to this Chapter.	สีทาและวาร์นิช ( รวมถึงเอนาเมลและแลกเกอร์ ) ที่มีโพลิเมอร์สังสเคราะห์หรือโพลิเมอร์ธรรมชาติที่ดัดแปลงโครงสร้างทางเคมีเป็นส่วนผสมหลัก ซึ่งกระจายหรือละลายอยู่ในตัวกลางที่ไม่ใช่น้ำ รวมทั้งสารละลายที่นิยามไว้ในหมายเหตุ 4 ของตอนนี้	
3209	Paints and varnishes (including enamels and lacdquers) based on synthetic or dissolved in an aqueous medium.	สีทาและวาร์นิช ( รวมถึงเอนาเมลและแลกเกอร์ ) ที่มีโพลิเมอร์สังสเคราะห์หรือโพลิเมอร์ธรรมชาติที่ดัดแปลงโครงสร้างทางเคมีเป็นส่วนผสมหลัก ซึ่งกระจายหรือละลายอยู่ในตัวกลางที่เป็นน้ำ	
3210	Other paints and varnishes (including enamels, lacquers and distempers); prepared water pigments of a kind used for finishing leather.	สีทาอื่น ๆ และวาร์นิชอื่น ๆ (รวมถึงเอนาเมล แลกเกอร์ ดิสเทมเปอร์) สารสีน้ำปรุงแต่งชนิดที่ใช้ตกแต่งหนังฟอก	
3211	Prepared driers.	ไดรเออร์ปรุงแต่ง	
3212	Pigments (including metallic powders and flakes) dispersec in non-aqueous media, in liquid or paste form, of a kind used in the manufacture of paints (including enamels); stamping foils; dyes and other colouring matter put up in forms or packings for retail sale.	สารสี (รวมถึงโลหะที่เป็นผงและเกล็ด) ที่กระจายอยู่ในตัวกลางที่ไม่ใช่น้ำ ในสภาพเหลวหรือเป็นเพสต์ ชนิดที่ใช้ผลิตสีทา (รวมถึงเอนาเมล) แสตมปิ้งฟอยล์ สีย้อมและวัตถุแต่งสีอื่น ๆ ที่จัดทำขึ้นในลักษณะหรือบรรจุภาชนะเพื่อการขายปลีก	
3213	Artists', students' or signbosrd painters' colours, modifying tints, amusement colours and like, in tables, tubes, jars, bottles, pans or in similar forms or packings.	สีที่จิตรกรหรือนักเรียนหรือช่างเขียนป้ายและสีที่คล้ายกัน ที่เป็นเม็ด บรรจุหลอด กระปุก ขวด กล่องแบน หรือในลักษณะหรือบรรจุภาชนะที่คล้ายกัน	
3214	Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for facades, indoor walls, floors, ceilings or the like.	พัตตี้สำหรับยากระจก พัตตี้สำหรับยาแนวต่อ เรซินซีเมนต์ สารประกอบ ที่ใช้ในการตอดหมันและมลาสติกอื่น ๆ สีโป๊ สิ่งปรุงแต่งชนิดไม่ทนไฟที่ใช้ฉาบพื้นผิวด้านนอกอาคาร ผนังด้านใน พื้น เพดาน หรือพื้นผิวอื่น ๆ ที่คล้ายกัน	
3215	Printing ink, writing or drawing ink and other inks, whether or not concentrated or solid.
- Printing ink :	หมึกพิมพ์ หมึกเขียนหรือหมึกวาดภาพและหมึกอื่น ๆ จะเข้มข้นหรือเป็นของแข็งหรือไม่ก็ตาม
- หมึกพิมพ์	
 CHAPTER 33	Essential oils and resinoids; perfumery, cosmetic or toilet preparations.	เอสเซนเชียลออยล์และเรซินอยด์ เครื่องหอม เครื่องสำอางหรือสิ่งปรุงแต่ง สำหรับประทินร่างกาย หรือประเทืองโฉม (ทอยเล็ตเพรพาเรชัน)	
3301	Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by-products of the deterpenation of essential oils; aqueous distillates and aqueous solutions of essential oils.
- Essential oils of citrus fruit :	เอสเซนเซียลออยล์ (จะมีเทอร์ฟีนหรือไม่ก็ตาม) รวมถึงคอนกรีตและแอบโซอูต เรซินนอยด์ ออลีโอเรซินที่สกัดแล้ว สิ่งเข้มข้นของเอสเซนเซียลออยล์ในลักษณะเป็นไขมัน เป็นน้ำมันระเหยยาก เป็นไขหรือของที่คล้ายกัน ซึ่งได้จากกรรมวิธีเอ็นฟูลเรจหรือมาเซอเรซัน ผลพลอยได้ที่มีเทอร์ฟีนซึ่งได้จากกรรมวิธีแยกเทอร์ฟีนออกจากเอสเซนเซียลออยล์ น้ำที่ได้จากการกลั่นในกรรมวิธีสกัดเอสเซนเซียลออยล์ด้วยไอ้น้ำ และสารละลายของเอสเซียลออยล์ในน้ำ
- เอสเซนเซียลออยล์ของผลไม้จำพวกส้ม	
3302	Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these subtances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind used for the manufacture of beverages-	ของผสมของสารที่มีกลิ่นหอม และของผสม ( รวมถึงสารละลายในแอลกอฮอล์ ) ที่มีสารดังกล่าวตั้งแต่หนึ่งชนิดขึ้นไปเป็นหลัก ชนิดที่ใช้เป็นวัตถุดิบในอุตสาหกรรม รวมทั้งของปรุงแต่งอื่น ๆ ที่มีสารที่มีกลิ่นหอมเป็นหลักชนิดที่ใช้สำหรับผลิตเครื่องดื่ม	
3303	Perfumes and toilet waters.	หัวน้ำหอมและน้ำหอม	
3304	Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure preparations.	สิ่งปรุงแต่งที่ใช้แต่งเสริมความงามหรือแต่งหน้าและสิ่งปรุงแต่งสำหรับบำรุงรักษาผิว ( นอกจากยารักษาหรือป้องกันโรค ) รวมถึงสิ่งปรุงแต่งที่ใช้ทากันแสงแดดหรือทำให้ผิวคล้ำ สิ่งปรุงแต่งที่ใช้เล็บมือหรือเล็บเท้า	
3305	3305 Preparations for use on the hair.	สิ่งปรุงแต่งสำหรับใช้กับผม	
3306	Preparations for oral or dental hygiene, including denture fixative pastes and powders; yarn used to clean between the teeth(dental floss), in intdidual retail packages.	สิ่งปรุงแต่งที่ใช้เพื่ออนามัยของช่องปากหรือฟัน รวมถึงเฟสต์และผง สำหรับยืดฟันปลอม รวมทั้งด้ายใช้ทำความสะอาดซอกฟัน	
3307	Pre-shave, shaving or after-shave preparations, personal deodorants, bath preparations, depilatories and other perfumery, cosmetic or toilet preparations, not elsewhere specified or included; prepared room deodorisers, whether or not perfumed or having disinfectant properties.	สิ่งปรุงแต่งที่ใช้ก่อน ระหว่างหรือหลังการโกนหนวด สิ่งที่ใช้ดับกลิ่นตัว สิ่งปรุงแต่งที่ใช้อาบน้ำ สิ่งที่ใช้ทำให้ขนร่วง และเครื่องหอมอื่น ๆ เครื่องสำอางหรือสิ่งปรุงแต่งสำหรับประทินร่างกายหรือประเทืองโฉม ที่ไม่ได้ระบุหรือไว้ในทื่อื่น สิ่งปรุงแต่งที่ใช้ดับกลิ่นห้องจะมีกลิ่นหอมหรือมีคุณสมบัติในการฆ่าเชื้อหรือไม่ก็ตาม	
 CHAPTER 34	Soap, organic surface-active agents, washing preparations, lubricating preparations, artifical waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, "dental waxes" and dental preparations with a basis o	สบู่ สารอินทรีย์ที่เป็นตัวลดแรงตึงผิว สิ่งปรุงแต่งที่ใช้ซักล้าง สิ่งปรุงแต่งที่ใช้หล่อลื่น ไขเทียม ไขปรุงแต่ง สิ่งปรุงแต่ง ที่ใช้ขัดเงา หรือขัดถู เทียนไข และของที่คล้ายกัน เพสต์สำหรับทำแบบ "ไขที่ใช้ทางทันตกรรม" สิ่งปรุงแต่งทาง ทันตกรรมซึ่งมีปลาสเตอร์เป็นห	
3401	Soap; orgnic surface-active products and preparations for use as soap, in the form of bars, cakes, moulded pieces or shapes, whether or not containing soap; orginc surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap; paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent.	สบู่ผลิตภัณฑ์อนิทรีย์และสารอนิทรีย์ปรุงแต่งที่มีคุณสมบัติลดแรงตึงผิว สำหรับใช้เป็นสบู่ซึ่งมีลักษณะเป็นแท่ง เป็นก้อน หล่อหรืออัดเป็นชิ้นหรือเป็นรูปทรง จะมีสบุ่หรือไม่ก็ตาม ผลิตภัณฑ์อินทรีย์และสารอินทรีย์ปรุงแต่งที่มีคุณสมบัติลดแรงตึงผิวสำหรับทำความสะอาดผิด ซึ่งมีลักษณะเป็นของเหลวหรือครีมและจัดทำขึ้นเพื่อการขายปลีก จะมีสบู่หรือไม่ก็ตาม รวมทั้งกระดาษ แวดดิ้ง สักหลาดและผ้าไม่ทอที่อาบซึม เคลือบ หรือหุ้มด้วยสบู่หรือสารซักฟอก ( ดีเทอร์เจนต์ )	
3402	Orgaic surface-active agents (other than soap); surface-active preparations , washing preparations (including auxiliary washing preparations) and cleaning preparations, whether or not containing soap, other than those of heading 34.01.	สารอินทรีย์ที่เป็นตัวลดแรงตึงผิว (นอกจากสบู่ ) รวมทั้งสิ่งปรุงแต่งที่มีคุณสมบัติลดแรงตึงผิว สิ่งปรุงแต่งที่ใช้ซักล้าง (รวมถึงสิ่งปรุงแต่งสำหรับช่วยในการซักล้าง) และสิ่งปรุงแต่งที่ใช้ทำความสะอาด จะมีสบู่หรือไม่ก็ตาม นอกจากของตามประเภทที่ 34.01	
